year,campus,programme_code,programme_name,degree_type,cutoff_score,max_score
2022,Pilani,BE-CHE,"B.E. Chemical",BE,191,390
2022,Pilani,BE-CIV,"B.E. Civil",BE,167,390
2022,Pilani,BE-CSE,"B.E. Computer Science",BE,320,390
2022,Pilani,BE-ECE,"B.E. Electronics & Communication",BE,279,390
2022,Pilani,BE-EEE,"B.E. Electrical & Electronics",BE,258,390
2022,Pilani,BE-EIE,"B.E. Electronics & Instrumentation",BE,249,390
2022,Pilani,BE-MANF,"B.E. Manufacturing",BE,184,390
2022,Pilani,BE-MECH,"B.E. Mechanical",BE,223,390
2022,Pilani,BPHARM,"B. Pharm.",BPHARM,125,390
2022,Pilani,MSC-BIO,"M.Sc. Biological Sciences",MSC,171,390
2022,Pilani,MSC-CHEM,"M.Sc. Chemistry",MSC,168,390
2022,Pilani,MSC-ECON,"M.Sc. Economics",MSC,247,390
2022,Pilani,MSC-MATH,"M.Sc. Mathematics",MSC,214,390
2022,Pilani,MSC-PHYS,"M.Sc. Physics",MSC,214,390
2021,Goa,BE-CHE,"B.E. Chemical",BE,145,450
2021,Goa,BE-CSE,"B.E. Computer Science",BE,328,450
2021,Goa,BE-ECE,"B.E. Electronics & Communication",BE,293,450
2021,Goa,BE-EEE,"B.E. Electrical & Electronics",BE,273,450
2021,Goa,BE-EIE,"B.E. Electronics & Instrumentation",BE,252,450
2021,Goa,BE-MECH,"B.E. Mechanical",BE,221,450
2021,Goa,MSC-BIO,"M.Sc. Biological Sciences",MSC,167,450
2021,Goa,MSC-CHEM,"M.Sc. Chemistry",MSC,158,450
2021,Goa,MSC-ECON,"M.Sc. Economics",MSC,267,450
2021,Goa,MSC-MATH,"M.Sc. Mathematics",MSC,228,450
2021,Goa,MSC-PHYS,"M.Sc. Physics",MSC,228,450
2021,Hyderabad,BE-CHE,"B.E. Chemical",BE,146,450
2021,Hyderabad,BE-CIV,"B.E. Civil",BE,148,450
2021,Hyderabad,BE-CSE,"B.E. Computer Science",BE,319,450
2021,Hyderabad,BE-ECE,"B.E. Electronics & Communication",BE,285,450
2021,Hyderabad,BE-EEE,"B.E. Electrical & Electronics",BE,262,450
2021,Hyderabad,BE-EIE,"B.E. Electronics & Instrumentation",BE,248,450
2021,Hyderabad,BE-MECH,"B.E. Mechanical",BE,192,450
2021,Hyderabad,BPHARM,"B. Pharm.",BPHARM,143,450
2021,Hyderabad,MSC-BIO,"M.Sc. Biological Sciences",MSC,157,450
2021,Hyderabad,MSC-CHEM,"M.Sc. Chemistry",MSC,149,450
2021,Hyderabad,MSC-ECON,"M.Sc. Economics",MSC,249,450
2021,Hyderabad,MSC-MATH,"M.Sc. Mathematics",MSC,198,450
2021,Hyderabad,MSC-PHYS,"M.Sc. Physics",MSC,173,450
2021,Pilani,BE-CHE,"B.E. Chemical",BE,223,450
2021,Pilani,BE-CIV,"B.E. Civil",BE,169,450
2021,Pilani,BE-CSE,"B.E. Computer Science",BE,364,450
2021,Pilani,BE-ECE,"B.E. Electronics & Communication",BE,322,450
2021,Pilani,BE-EEE,"B.E. Electrical & Electronics",BE,304,450
2021,Pilani,BE-EIE,"B.E. Electronics & Instrumentation",BE,294,450
2021,Pilani,BE-MANF,"B.E. Manufacturing",BE,190,450
2021,Pilani,BE-MECH,"B.E. Mechanical",BE,262,450
2021,Pilani,BPHARM,"B. Pharm.",BPHARM,189,450
